Symbol,Perchange,Indexweight,Marketcap
HDFCBANK,0.23%,13.67%,"1,274.61"
RELIANCE,0.79%,9.44%,880.39
ICICIBANK,0.92%,7.33%,683.31
INFY,1.26%,5.75%,536.18
ITC,0.43%,4.37%,407.27
LT,0.23%,4.35%,405.86
TCS,0.17%,3.95%,368.68
AXISBANK,0.50%,3.52%,327.98
KOTAKBANK,0.69%,2.87%,267.31
SBIN,1.44%,2.56%,238.91
HINDUNILVR,1.14%,2.54%,236.94
BHARTIARTL,0.43%,2.51%,233.73
BAJFINANCE,0.95%,2.02%,188.36
M&M,0.29%,1.69%,157.59
HCLTECH,0.43%,1.65%,153.88
MARUTI,0.30%,1.59%,148.1
NTPC,0.88%,1.58%,147.48
SUNPHARMA,0.21%,1.47%,136.95
ASIANPAINT,0.15%,1.45%,135.56
TITAN,1.07%,1.44%,134.54
TATAMOTORS,3.46%,1.44%,134.4
ULTRACEMCO,0.74%,1.25%,116.72
TATASTEEL,1.05%,1.19%,110.85
POWERGRID,0.79%,1.15%,107.31
NESTLEIND,1.26%,1.02%,95.12
BAJAJFINSV,0.27%,1.01%,94.55
INDUSINDBK,0.72%,1.01%,94.29
HINDALCO,0.09%,0.94%,87.88
COALINDIA,1.30%,0.92%,85.42
ADANIPORTS,0.73%,0.91%,84.44
ONGC,1.56%,0.85%,79.45
TECHM,1.03%,0.85%,79.19
BAJAJ-AUTO,1.40%,0.83%,77.28
JSWSTEEL,0.06%,0.81%,75.49
ADANIENT,1.39%,0.79%,73.86
GRASIM,0.24%,0.76%,70.83
DRREDDY,1.04%,0.74%,68.58
WIPRO,0.39%,0.71%,66.06
TATACONSUM,4.40%,0.71%,65.79
CIPLA,1.15%,0.69%,64.78
BRITANNIA,1.07%,0.68%,63.05
HDFCLIFE,0.22%,0.65%,60.71
SBILIFE,0.19%,0.65%,60.22
LTIM,0.67%,0.62%,58.07
APOLLOHOSP,0.98%,0.62%,57.67
HEROMOTOCO,0.81%,0.57%,53.57
EICHERMOT,1.26%,0.57%,53.53
DIVISLAB,0.91%,0.53%,49.4
BPCL,3.25%,0.47%,44.17
UPL,0.37%,0.32%,29.65
